Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
192,0,-0.882339,-0.530739,-1.487281,-728.612366,-793.59552,373.513
193,0,-0.876408,-0.534371,-1.475796,-728.536865,-793.592041,373.542114
194,0,-0.883782,-0.52957,-1.49014,-728.591919,-793.598816,373.522278
195,0,-0.899726,-0.522506,-1.518229,-728.607544,-793.5849,373.501038
196,0,0.721852,-0.595474,1.302902,-727.33606,-793.02417,373.556458
197,0,0.715124,-0.597932,1.285753,-727.424866,-792.896118,373.683685
198,0,0.705021,-0.602214,1.266909,-727.474243,-792.879944,373.648682
199,0,-0.645316,-0.621104,-1.062212,-728.89856,-793.492004,373.879852
200,0,-0.652474,-0.61865,-1.074653,-728.851318,-793.455444,373.845367
201,0,-0.660026,-0.616096,-1.088511,-728.822571,-793.25946,373.722961
202,0,0.629282,-0.627168,1.136081,-727.568176,-792.70575,373.636383
203,0,0.633032,-0.626414,1.140753,-727.536865,-792.707092,373.688416
204,0,0.641317,-0.622733,1.155531,-727.59137,-792.718018,373.672607
205,0,0.646757,-0.621158,1.163688,-727.666199,-792.676819,373.674774
206,0,0.644985,-0.621976,1.162059,-727.59314,-792.714417,373.667053
207,0,0.651143,-0.620307,1.172606,-727.542175,-792.736938,373.674408
208,0,0.649848,-0.620696,1.172914,-727.528015,-792.712585,373.61145
209,0,0.656588,-0.619466,1.183083,-727.543823,-792.718933,373.628082
210,0,0.66129,-0.617715,1.19169,-727.518738,-792.691711,373.62262
211,0,0.655074,-0.625859,1.179415,-727.841125,-793.079102,373.577057
212,0,0.664466,-0.622316,1.196185,-727.891968,-793.096069,373.55191
213,0,0.672946,-0.619884,1.21117,-727.909058,-793.125183,373.609558
214,0,0.619222,-0.630426,1.121244,-727.59668,-792.711121,373.640778
215,0,0.62904,-0.627734,1.135781,-727.527832,-792.80658,373.672485
216,0,0.635583,-0.625766,1.147552,-727.58313,-792.796082,373.660461
217,0,-0.808339,-0.557992,-1.363534,-729.392334,-793.84845,373.712433
218,0,-0.821812,-0.549894,-1.390022,-729.369263,-793.876526,373.559296
219,0,-0.843753,-0.538776,-1.429384,-729.412292,-794.01709,373.623322
220,0,0.618628,-0.649273,1.128937,-729.82666,-793.609619,374.063416
221,0,0.596814,-0.657319,1.089996,-730.181274,-793.786987,374.109314
222,0,0.579172,-0.661848,1.060825,-730.223083,-793.793274,374.052521
223,0,0.563646,-0.666783,1.033606,-730.224304,-793.779663,374.089874
224,0,0.565774,-0.664661,1.037108,-729.775269,-793.606445,374.009979
225,0,0.559012,-0.667765,1.024847,-730.13208,-793.792297,374.117828
226,0,-0.151834,-0.739402,-0.220088,-730.855774,-793.902954,373.655151
227,0,-0.139857,-0.740194,-0.197922,-730.798035,-793.848206,373.705536
228,0,-0.125994,-0.741603,-0.173071,-730.723328,-793.868103,373.739075
229,0,-0.117536,-0.742015,-0.15805,-730.869751,-793.833923,373.624359
230,0,-0.099478,-0.743141,-0.126545,-730.696899,-793.763,373.609161
231,0,-0.069509,-0.744911,-0.073542,-730.832947,-793.842529,373.665253
232,0,-0.060993,-0.745087,-0.058702,-730.90332,-793.864014,373.622742
233,0,-0.043407,-0.745374,-0.027541,-730.681274,-793.665649,373.606628
234,0,-0.018818,-0.745899,0.017663,-730.840149,-793.758545,373.668427
235,0,0.625675,-0.644849,1.139338,-728.442322,-793.395508,373.779449
236,0,0.638157,-0.641553,1.161036,-728.483093,-793.352356,373.755585
237,0,0.647312,-0.637853,1.177404,-728.525513,-793.33783,373.716858
238,0,-0.696478,-0.600515,-1.168532,-729.384094,-793.929138,373.516479
239,0,-0.711332,-0.595284,-1.195668,-729.307312,-793.831848,373.486755
240,0,-0.741405,-0.583164,-1.247312,-729.479553,-793.906982,373.506348
241,0,-0.754059,-0.57883,-1.269364,-729.406921,-793.878845,373.588745
242,0,-0.768422,-0.57349,-1.295904,-729.249939,-793.811951,373.491425
243,0,-0.794882,-0.561695,-1.34231,-729.426147,-793.917114,373.547791
244,0,0.626485,-0.635654,1.130547,-727.872314,-793.190186,373.580902
245,0,0.637074,-0.632053,1.148506,-727.888367,-793.096069,373.577484
246,0,0.648301,-0.628203,1.167562,-727.853577,-793.145264,373.608063
247,0,0.65771,-0.625554,1.182511,-727.893127,-793.094727,373.586884
248,0,0.666254,-0.622328,1.198946,-727.812439,-793.145874,373.648438
249,0,0.672651,-0.620407,1.209787,-727.811768,-793.0755,373.641296
250,0,-0.772406,-0.573523,-1.299309,-729.319336,-793.765686,373.694275
251,0,-0.780383,-0.570672,-1.313618,-729.175659,-793.664185,373.632355
252,0,-0.78883,-0.567591,-1.328293,-729.195251,-793.689941,373.661957
253,0,0.644672,-0.629609,1.16123,-727.924438,-793.191345,373.605682
254,0,0.640724,-0.630191,1.151942,-728.231506,-793.491089,373.65033
255,0,0.626346,-0.634434,1.126007,-728.257568,-793.523621,373.613708
256,0,-0.759807,-0.579684,-1.265029,-729.040222,-793.500427,373.66626
257,0,-0.768459,-0.576426,-1.280084,-728.974243,-793.517578,373.722382
258,0,-0.776696,-0.57316,-1.295501,-728.968872,-793.555359,373.727905
259,0,-0.785369,-0.569012,-1.310924,-728.984924,-793.497253,373.704224
260,0,-0.788661,-0.567817,-1.317007,-728.958008,-793.524536,373.779724
261,0,-0.795405,-0.565522,-1.326456,-729.005188,-793.533691,373.694824
262,0,-0.790254,-0.567525,-1.31852,-729.005066,-793.493225,373.722382
263,0,-0.789667,-0.567433,-1.317965,-729.000244,-793.539001,373.723602
264,0,-0.796891,-0.56512,-1.331805,-728.69751,-793.355347,373.726135
265,0,-0.79827,-0.564741,-1.333321,-728.936707,-793.482117,373.766174
